ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses
2020,1,1,1.0.00.000,Alimentação e bebidas,19.3483,0.39,0.39,
2020,1,2,2.0.00.000,Habitação,15.5945,0.55,0.55,
2020,1,3,3.0.00.000,Artigos de residência,3.7529,-0.07,-0.07,
2020,1,4,4.0.00.000,Vestuário,4.577,-0.48,-0.48,
2020,1,5,5.0.00.000,Transportes,20.5979,0.32,0.32,
2020,1,6,6.0.00.000,Saúde e cuidados pessoais,13.5334,-0.32,-0.32,
2020,1,7,7.0.00.000,Despesas pessoais,10.733,0.35,0.35,
2020,1,8,8.0.00.000,Educação,6.1485,0.16,0.16,
2020,1,9,9.0.00.000,Comunicação,5.7146,0.12,0.12,
2020,2,1,1.0.00.000,Alimentação e bebidas,19.3816,0.11,0.5,
2020,2,2,2.0.00.000,Habitação,15.6461,-0.39,0.15,
2020,2,3,3.0.00.000,Artigos de residência,3.7423,-0.08,-0.15,
2020,2,4,4.0.00.000,Vestuário,4.5455,-0.73,-1.21,
2020,2,5,5.0.00.000,Transportes,20.6217,-0.23,0.1,
2020,2,6,6.0.00.000,Saúde e cuidados pessoais,13.4612,0.73,0.41,
2020,2,7,7.0.00.000,Despesas pessoais,10.7474,0.31,0.66,
2020,2,8,8.0.00.000,Educação,6.1448,3.7,3.86,
2020,2,9,9.0.00.000,Comunicação,5.7096,0.21,0.33,
2020,3,1,1.0.00.000,Alimentação e bebidas,19.3545,1.13,1.63,
2020,3,2,2.0.00.000,Habitação,15.547,0.13,0.28,
2020,3,3,3.0.00.000,Artigos de residência,3.7298,-1.08,-1.23,
2020,3,4,4.0.00.000,Vestuário,4.5008,0.21,-1,
2020,3,5,5.0.00.000,Transportes,20.5255,-0.9,-0.8,
2020,3,6,6.0.00.000,Saúde e cuidados pessoais,13.5247,0.21,0.62,
2020,3,7,7.0.00.000,Despesas pessoais,10.7541,-0.23,0.43,
2020,3,8,8.0.00.000,Educação,6.356,0.59,4.47,
2020,3,9,9.0.00.000,Comunicação,5.7077,0.04,0.36,
2020,4,1,1.0.00.000,Alimentação e bebidas,19.5588,1.79,3.45,
