"Tabela 7060 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2020)"
"Mês","Geral, grupo, subgrupo, item e subitem","","Variável"
"Mês","Geral, grupo, subgrupo, item e subitem","","IPCA - Variação mensal (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)","IPCA - Peso mensal (%)"
"janeiro 2022","Índice geral","Brasil","0.54","0.54","10.38","100.0000"
"janeiro 2022","1.Alimentação e bebidas","Brasil","1.11","1.11","8.04","20.7127"
"janeiro 2022","11.Alimentação no domicílio","Brasil","1.44","1.44","8.64","14.9822"
"janeiro 2022","1101.Cereais, leguminosas e oleaginosas","Brasil","-2.08","-2.08","-15.91","0.8345"
"janeiro 2022","1101002.Arroz","Brasil","-2.66","-2.66","-19.28","0.6042"
"janeiro 2022","1101051.Feijão - mulatinho","Brasil","-2.97","-2.97","2.75","0.0141"
"janeiro 2022","1101052.Feijão - preto","Brasil","-1.73","-1.73","-7.85","0.0598"
"janeiro 2022","1101053.Feijão - macáçar (fradinho)","Brasil","-1.84","-1.84","5.62","0.0192"
"janeiro 2022","1101073.Feijão - carioca (rajado)","Brasil","0.24","0.24","-9.05","0.1256"
"janeiro 2022","1101079.Milho (em grão)","Brasil","2.18","2.18","20.21","0.0116"
"janeiro 2022","1102.Farinhas, féculas e massas","Brasil","1.22","1.22","11.24","0.4633"
"janeiro 2022","1102001.Farinha de arroz","Brasil","0.81","0.81","-3.80","0.0023"
"janeiro 2022","1102006.Macarrão","Brasil","0.44","0.44","11.91","0.1465"
"janeiro 2022","1102008.Fubá de milho","Brasil","2.02","2.02","33.63","0.0100"
"janeiro 2022","1102010.Flocos de milho","Brasil","0.08","0.08","3.35","0.0092"
"janeiro 2022","1102012.Farinha de trigo","Brasil","0.61","0.61","13.90","0.0523"
"janeiro 2022","1102023.Farinha de mandioca","Brasil","3.65","3.65","9.55","0.0952"
"janeiro 2022","1102029.Massa semipreparada","Brasil","0.48","0.48","10.63","0.1210"
"janeiro 2022","1102061.Macarrão instantâneo","Brasil","1.43","1.43","8.96","0.0268"
"janeiro 2022","1103.Tubérculos, raízes e legumes","Brasil","8.70","8.70","4.95","0.7047"
"janeiro 2022","1103002.Batata-doce","Brasil","-2.05","-2.05","3.15","0.0317"
"janeiro 2022","1103003.Batata-inglesa","Brasil","9.65","9.65","-23.64","0.1639"
"janeiro 2022","1103004.Inhame","Brasil","11.07","11.07","0.57","0.0015"
